id,scientific_name,best_identity,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,rank,count,Sard_69_EtOH,Sard_69_Si,Sard_70_EtOH,Sard_70_Si,Sard_71_EtOH,Sard_71_Si,Sard_72_EtOH,Sard_72_Si,Sard_73_EtOH,Sard_73_Si,Sard_74_EtOH,Sard_74_Si,Sard_75_EtOH,Sard_75_Si,Sard_77_EtOH,Sard_77_Si,Sard_80_EtOH,Sard_80_Si,Sard_84_EtOH,Sard_84_Si,Adr_110_EtOH,Adr_110_Si,Adr_115_EtOH,Adr_115_Si,Adr_118_EtOH,Adr_118_Si,Adr_87_EtOH,Adr_87_Si,Adr_89_EtOH,Adr_89_Si,Tyrr_48_EtOH,Tyrr_48_Si,Tyrr_59_EtOH,Tyrr_59_Si,Tyrr_71_EtOH,Tyrr_71_Si,Tyrr_83_EtOH,Tyrr_83_Si,Tyrr_87_EtOH,Tyrr_87_Si,Tyrr_10_EtOH,Tyrr_10_Si
OTU_60,Nezumia,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gadiformes,Macrouridae,Nezumia,NA,genus,1630,0,0,1,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,9,7
OTU_61,Notacanthus bonaparte,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Notacanthiformes,Notacanthidae,Notacanthus,Notacanthus bonaparte,species,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75,293
OTU_62,Notoscopelus elongatus,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Notoscopelus,Notoscopelus elongatus,species,2639,0,0,0,0,0,1,0,0,0,0,0,0,9,803,0,0,756,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,94,226
OTU_63,Pagellus acarne,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Spariformes,Sparidae,Pagellus,Pagellus acarne,species,143626,1592,353,89266,29719,6227,593,572,4682,3100,3235,29,247,17,34,8,9,1,11,2,4,2,2,3,6,1,5,253,2887,5,1,46,8,5,3,2,5,1,3,86,29,6,2
OTU_64,Pagellus bogaraveo,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Spariformes,Sparidae,Pagellus,Pagellus bogaraveo,species,1349,20,41,144,219,10,0,3,1,27,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,144,9,0,0,0,1,0,0,503,211,1,0
OTU_65,Pagellus erythrinus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Spariformes,Sparidae,Pagellus,Pagellus erythrinus,species,75378,56667,6891,147,155,59,9,37,243,9606,446,1,3,0,33,0,0,0,1,0,0,17,0,4,3,0,2,262,205,5,1,286,163,0,0,1,0,2,3,42,68,0,0
OTU_66,Pagrus pagrus,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Spariformes,Sparidae,Pagrus,Pagrus pagrus,species,6920,5667,293,1,2,1,0,0,3,857,55,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,18,3,0,0,0,0,0,0,3,0,0,0
OTU_67,Peristedion,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Perciformes,Peristediidae,Peristedion,NA,genus,7578,8,1,2,9,0,1,0,2,2,2,1,15,464,856,1292,4501,17,395,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0
OTU_68,Phycis blennoides,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gadiformes,Phycidae,Phycis,Phycis blennoides,species,32819,12,3,11,3,2,7,2,2,7,3,4,14,2,4,0,0,909,6193,355,885,1,1,0,0,1,1,0,2,0,0,2,1,2,2,1115,471,7,7,5,0,49,157
OTU_69,Pomatoschistus minutus,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,Pomatoschistus minutus,species,1932,2,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1566,1,3,7,0,1,0,0,316,29,0,0,0,0,0,0,0,0,0,0,0,0
