id,scientific_name,best_identity,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,rank,count,Sard_69_EtOH,Sard_69_Si,Sard_70_EtOH,Sard_70_Si,Sard_71_EtOH,Sard_71_Si,Sard_72_EtOH,Sard_72_Si,Sard_73_EtOH,Sard_73_Si,Sard_74_EtOH,Sard_74_Si,Sard_75_EtOH,Sard_75_Si,Sard_77_EtOH,Sard_77_Si,Sard_80_EtOH,Sard_80_Si,Sard_84_EtOH,Sard_84_Si,Adr_110_EtOH,Adr_110_Si,Adr_115_EtOH,Adr_115_Si,Adr_118_EtOH,Adr_118_Si,Adr_87_EtOH,Adr_87_Si,Adr_89_EtOH,Adr_89_Si,Tyrr_48_EtOH,Tyrr_48_Si,Tyrr_59_EtOH,Tyrr_59_Si,Tyrr_71_EtOH,Tyrr_71_Si,Tyrr_83_EtOH,Tyrr_83_Si,Tyrr_87_EtOH,Tyrr_87_Si,Tyrr_10_EtOH,Tyrr_10_Si
OTU_11,Chelidonichthys,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Perciformes,Triglidae,Chelidonichthys,NA,genus,116,0,0,0,0,0,0,0,0,0,0,2,0,5,0,11,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,47,0,1,2,5
OTU_12,Chimaera monstrosa,0.99,Opisthokonta,Metazoa,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Chimaera,Chimaera monstrosa,species,36747,1,5,6,1,4,4,9,3,3,2,4,1,6,2,1,5,2,1,4,1,4,4,0,2,0,3,8,2,4,4,0,3,6,12,1990,7472,8,6,4,8,5463,11762
OTU_13,Chlorophthalmus agassizi,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,Chlorophthalmus agassizi,species,25555,3,2,1,7,2,1,5,0,0,2,0,0,4,17,95,5,3368,2942,60,46,4,3,3,0,0,2,2,0,2,1,0,3,0,5,126,33,362,46,7,6,1,0
OTU_14,Citharus linguatula,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Pleuronectiformes,Citharidae,Citharus,Citharus linguatula,species,801,0,0,0,0,0,1,186,2,532,10,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,55,0,7,3,0,0,0,1,0,0,0,0,0,0,0,0
OTU_15,Coelorinchus caelorhincus,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gadiformes,Macrouridae,Coelorinchus,Coelorinchus caelorhincus,species,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
OTU_16,Crystallogobius linearis,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Crystallogobius,Crystallogobius linearis,species,168,4,0,3,0,0,0,2,0,92,20,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0
OTU_17,Cyclothone microdon,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,Cyclothone,Cyclothone microdon,species,27626,1,6,8,2,1,1,5,0,2,3,4,1,1,0,1,4,50,21,8,10,5,2,0,2,2,3,1,2,0,1,0,1,2,2,6,0,4,0,1,3,5,2
OTU_18,Dasyatis pastinaca,1,Opisthokonta,Metazoa,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis pastinaca,species,13189,1576,5206,611,2430,23,40,458,326,39,124,0,1,1,0,2,4,0,3,0,2,2296,2,1,4,2,2,1,2,0,2,0,2,1,2,0,0,3,1,2,2,0,0
OTU_19,Dentex,0.982352941,Opisthokonta,Metazoa,Chordata,Actinopterygii,Spariformes,Sparidae,Dentex,NA,genus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_20,Diaphus rafinesquii,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Diaphus,Diaphus rafinesquii,species,4544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,30,0,0,0,1,1,2,6
OTU_21,Dipturus oxyrinchus,1,Opisthokonta,Metazoa,Chordata,Chondrichthyes,Rajiformes,Rajidae,Dipturus,Dipturus oxyrinchus,species,4981,332,446,16,263,1,0,17,2,0,3,54,0,1923,304,118,109,31,181,97,231,0,655,0,2,0,0,0,3,18,82,0,2,0,0,17,50,1,0,5,5,0,0
OTU_22,Echelus myrus,0.988372093,Opisthokonta,Metazoa,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Echelus,Echelus myrus,species,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_23,Echiodon,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Ophidiiformes,Carapidae,Echiodon,NA,genus,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU_24,Electrona risso,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Electrona,Electrona risso,species,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_25,Engraulis encrasicolus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,species,73288,4,6,7,0,6,7,10,3,7,35,5,2,8,4,6,9,4,1,9,9,3317,7267,9074,18870,5030,7483,1061,612,130,63,543,4083,11,10,2,7,21,14,4149,2811,6,4
OTU_26,Epigonus denticulatus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Pempheriformes,Epigonidae,Epigonus,Epigonus denticulatus,species,1292,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,140,54,187,515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,183,2,15,9,0,2,0,1
OTU_27,Etmopterus spinax,1,Opisthokonta,Metazoa,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Etmopterus,Etmopterus spinax,species,9486,0,1,1,0,0,0,5,0,2,2,1,1,2,1,0,4,2980,491,7,70,0,0,0,3,1,1,0,1,0,1,1,3,1,1,14,56,0,1,1,4,810,4691
OTU_28,Facciolella oxyrhyncha,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Anguilliformes,Nettastomatidae,Facciolella,Facciolella oxyrhyncha,species,2436,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,3,0,0,0,2,0,0,0,1,1,0,0,0,2,2,3,1,1033,1362
OTU_29,Gadiculus argenteus,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadiculus,Gadiculus argenteus,species,134826,3,8,10,3,1103,62,2246,93,53,59,593,5,1228,55,289,97,327,777,104,332,135,491,9,14,15,22,435,199,120,78,5,17,23019,5263,131,85,8108,5917,185,103,9,8
OTU_30,Galeus melastomus,1,Opisthokonta,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Galeus,Galeus melastomus,species,175996,8,19,21,36,11,7,39,8,14,12,6,5,17,4,5,20,366,950,127,84,17,25,5,24,11,14,9,16,19,18,10,19,26,29,5706,1142,83,107,27,28,25,22
OTU_31,Glossanodon,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Argentiniformes,Argentinidae,Glossanodon,NA,genus,24515,3,1,2,26,1,2,51,22,1,2,1619,46,2803,1490,606,78,8,19,8096,8882,4,2,3,7,4,2,4,0,1,4,1,3,13,14,452,125,6,5,7,2,7,1
OTU_32,Gnathophis,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Anguilliformes,Congridae,Gnathophis,NA,genus,74,0,0,0,0,0,0,2,0,0,0,0,0,3,0,4,8,0,0,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_33,Gymnammodytes,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Uranoscopiformes,Ammodytidae,Gymnammodytes,NA,genus,6928,1541,2576,74,160,30,2,1384,18,539,524,15,3,5,3,1,0,2,6,2,1,0,1,4,2,0,0,1,3,2,0,2,1,1,3,0,0,0,2,0,0,1,1
OTU_34,Helicolenus dactylopterus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Helicolenus,Helicolenus dactylopterus,species,5763,1,0,0,0,1,0,0,0,0,7,0,0,192,44,3,7,0,6,476,1418,2,1,0,1,1,1,0,0,0,0,1,0,2,0,635,1115,283,787,3,0,0,10
